country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
Albania,30.2,30,29.7,29.5,29.3,29.1,29,29,29,29,29,29,29,29
Algeria,29.9,29.4,29,28.5,28.2,27.9,27.7,27.6,27.6,27.6,27.6,27.6,27.6,27.6
Andorra,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Angola,45,44.1,43.4,42.9,42.7,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6
Antigua and Barbuda,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Argentina,45.8,44.9,44,43,42.3,41.8,41.6,41.6,41.8,42.1,42.3,42.4,42.4,42.4
Armenia,30.8,29.6,29.6,29.2,29.5,30.2,30.7,31.3,31.9,32.3,32.5,32.6,32.6,32.6
Australia,34.9,35,34.2,33.6,32.9,32.4,31.9,32.2,32.3,32.3,32.3,32.3,32.3,32.3
Austria,30.2,30.5,30.7,30.7,30.8,30.6,30.6,30.6,30.6,30.5,30.5,30.5,30.5,30.5
Azerbaijan,31.7,31.8,32.1,32.2,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4
Bahamas,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7
Bahrain,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Bangladesh,32.8,32.6,32.4,32.3,32.2,32.2,32.3,32.3,32.3,32.4,32.4,32.4,32.4,32.4
Barbados,44.2,44.1,44,43.9,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8
Belarus,28.2,28.4,28.2,27.6,27.3,27.2,26.8,26.8,26.9,27,26.9,27,27,27
Belgium,28.7,28.5,28.5,28.2,28,27.9,27.8,27.8,27.8,27.8,27.7,27.7,27.7,27.7
Belize,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3
Benin,40.7,41.3,41.8,42.4,43.1,44,45.1,46,46.9,47.5,47.8,47.8,47.8,47.8
Bhutan,38.6,38.4,38.4,38.5,38.6,38.6,38.5,38.3,38,37.8,37.6,37.5,37.4,37.4
Bolivia,54,51.8,49.7,48.1,47.4,47.1,47,46.7,46.3,45.7,45.1,44.6,44.6,44.6
Bosnia and Herzegovina,33.3,33.1,33,33,33,32.9,32.9,32.8,32.7,32.7,32.7,32.7,32.7,32.7
Botswana,62.3,61.7,61.2,60.8,60.6,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5
Brazil,54.9,54.3,53.8,53.3,53.1,52.6,52.2,51.9,51.6,51.4,51.3,51.3,51.3,51.3
Brunei,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Bulgaria,33.7,34.2,33.9,34.7,35.3,36,36.3,37,37.3,37.4,37.4,37.4,37.4,37.4
Burkina Faso,40.9,40.3,39.6,38.8,38,37.1,36.4,35.8,35.5,35.3,35.3,35.3,35.3,35.3
Burundi,34.4,34.7,35.3,36,36.6,37.3,37.8,38.2,38.5,38.6,38.6,38.6,38.6,38.6
Cambodia,42,42,42,42,42,42,42,42,42,42,42,42,42,42
Cameroon,43.1,43.5,43.9,44.5,45,45.5,46,46.3,46.5,46.6,46.6,46.6,46.6,46.6
Canada,33.8,33.7,33.7,33.7,33.8,33.3,32.8,32.2,31.7,31.1,31.1,31.1,31.1,31.1
Cape Verde,48.3,47.7,47.4,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2
